url, time, page_size, depth, page_status
https://www.uniline.co.nz/Document/Detail/14/About-Us, 01:19:17 09/27/2024, 32220, 1, 200
https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/, 01:19:19 09/27/2024, 54278, 1, 200
https://www.queenstownnz.co.nz/plan/services/transport-services/campervans-and-motorhomes/, 01:19:19 09/27/2024, 282477, 1, 200
https://www.westpac.co.nz/help/how-to-guides/, 01:19:21 09/27/2024, 69127, 1, 200
https://www.westpac.co.nz/personal/tools-resources/, 01:19:22 09/27/2024, 116822, 1, 200
https://www.queenstownnz.co.nz/plan/services/transport-services/limousines-and-luxury-transport/, 01:19:23 09/27/2024, 282265, 1, 200
https://www.westpac.co.nz/foreign-exchange/, 01:19:26 09/27/2024, 117107, 1, 200
https://www.westpac.co.nz/personal-loans/, 01:19:31 09/27/2024, None, 1, None
https://www.healthpoint.co.nz/immunisation/, 01:19:33 09/27/2024, 40163, 1, 200
https://www.queenstownnz.co.nz/plan/services/transport-services/taxis-and-shuttles/, 01:19:34 09/27/2024, 282280, 1, 200
https://www.westpac.co.nz/kiwisaver-investments/, 01:19:35 09/27/2024, 122576, 1, 200
https://www.westpac.co.nz/credit-cards/, 01:19:37 09/27/2024, 122439, 1, 200
https://www.queenstownnz.co.nz/plan/services/transport-services/rental-cars/, 01:19:38 09/27/2024, 282532, 1, 200
https://www.westpac.co.nz/home-loans-mortgages/, 01:19:39 09/27/2024, 122861, 1, 200
https://www.westpac.co.nz/kiwisaver-investments/term-deposits-pie-investments/term-deposit/, 01:19:40 09/27/2024, 123753, 1, 200
https://www.anz.co.nz/institutional/international-business/, 01:19:44 09/27/2024, 279225, 1, 200
https://www.uniline.co.nz/Product/FabricSwatch, 01:19:47 09/27/2024, 125770, 1, 200
https://www.mpages.co.nz/portal.php?mod=view&aid=1884, 01:19:49 09/27/2024, 23152, 1, 200
https://www.healthpoint.co.nz/covid-19/, 01:19:51 09/27/2024, 24365, 1, 200
https://www.queenstownnz.co.nz/plan/services/transport-services/coach-and-bus-services/, 01:19:52 09/27/2024, 282496, 1, 200
https://www.westpac.co.nz/accounts-cards/, 01:19:53 09/27/2024, 121674, 1, 200
https://www.westpac.co.nz/accounts-cards/join-westpac/, 01:19:55 09/27/2024, 123284, 1, 200
https://www.queenstownnz.co.nz/plan/services/visitor-services/information-centres/, 01:19:55 09/27/2024, 281322, 1, 200
https://www.westpac.co.nz/personal/ways-to-bank/safety-and-security/latest-scams/, 01:19:57 09/27/2024, 179649, 1, 200
https://www.westpac.co.nz/about-us/sustainability-community/our-people-communities/te-waiu-o-aotearoa-trust-scholarship/, 01:19:58 09/27/2024, 66103, 1, 200
https://www.healthpoint.co.nz/covid-19-vaccination-and-boosters/, 01:20:00 09/27/2024, 29536, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/fiordland/things-to-do/, 01:20:01 09/27/2024, 284710, 1, 200
https://www.westpac.co.nz/help/, 01:20:03 09/27/2024, 75329, 1, 200
https://www.westpac.co.nz/contact-us/, 01:20:04 09/27/2024, 77519, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/kingston/things-to-do/, 01:20:04 09/27/2024, 288196, 1, 200
https://www.westpac.co.nz/contact-us/branch-finder/, 01:20:07 09/27/2024, 1782654, 1, 200
https://www.westpac.co.nz/institutional/, 01:20:08 09/27/2024, 113179, 1, 200
https://www.healthpoint.co.nz/useful-information/how-to-edit-and-update-your-healthpoint-page/, 01:20:09 09/27/2024, 11456, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/kingston/accommodation/, 01:20:10 09/27/2024, 282832, 1, 200
https://www.westpac.co.nz/agribusiness/, 01:20:12 09/27/2024, 117279, 1, 200
https://www.westpac.co.nz/business/, 01:20:13 09/27/2024, 119759, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/glenorchy/restaurants-and-bars/, 01:20:14 09/27/2024, 284725, 1, 200
https://www.westpac.co.nz/, 01:20:14 09/27/2024, 131342, 1, 200
https://www.westpac.co.nz/#main, 01:20:14 09/27/2024, 131342, 1, 200
https://www.healthpoint.co.nz/useful-information/videos-and-training/, 01:20:16 09/27/2024, 13882, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/glenorchy/accommodation/, 01:20:17 09/27/2024, 285654, 1, 200
